Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,85.330002,86.290001,85.120003,86.199997,83.670471,4012800
2019-07-05,85.800003,86.910004,85.419998,86.820000,84.272278,6440900
2019-07-08,86.059998,88.519997,85.970001,88.480003,85.883575,7052000
2019-07-09,88.099998,88.800003,87.820000,88.040001,85.456474,6219700
2019-07-10,88.480003,88.940002,87.389999,87.440002,84.874084,5985500
2019-07-11,87.709999,88.300003,87.400002,88.290001,85.699135,3942400
2019-07-12,88.180000,89.309998,88.010002,89.120003,86.504784,4240900
2019-07-15,89.059998,89.870003,89.059998,89.480003,86.854210,3750900
2019-07-16,89.500000,89.709999,88.570000,88.599998,86.000053,5812800
2019-07-17,88.419998,88.690002,87.440002,87.500000,84.932320,4461500
2019-07-18,87.629997,87.760002,86.760002,87.440002,84.874084,4607000
2019-07-19,87.730003,87.879997,86.480003,86.550003,84.010223,6635300
2019-07-22,86.559998,86.989998,85.830002,85.970001,83.447227,6810300
2019-07-23,86.639999,87.099998,86.230003,86.699997,84.155792,5659900
2019-07-24,86.650002,87.209999,86.309998,86.699997,84.155792,6362900
2019-07-25,86.820000,87.500000,86.589996,87.279999,84.718773,4546400
2019-07-26,87.440002,87.839996,86.769997,87.540001,84.971146,3707200
2019-07-29,87.650002,87.870003,87.180000,87.620003,85.048813,4387300
2019-07-30,86.820000,87.910004,86.360001,87.199997,84.641121,3561200
2019-07-31,87.089996,87.269997,85.550003,86.029999,83.505463,5818200
2019-08-01,85.260002,86.769997,82.699997,83.120003,80.680862,7871800
2019-08-02,82.529999,83.239998,80.790001,81.139999,78.758957,8761400
2019-08-05,79.660004,80.050003,78.190002,78.970001,76.652641,8493300
2019-08-06,79.849998,81.589996,79.489998,81.300003,78.914253,8664500
2019-08-07,80.500000,81.820000,80.089996,81.279999,78.894852,6275000
2019-08-08,81.809998,83.360001,81.610001,83.000000,80.564369,6208900
2019-08-09,83.139999,83.430000,81.320000,81.980003,79.574318,5460200
2019-08-12,81.410004,81.949997,81.180000,81.650002,79.253998,3762500
2019-08-13,81.169998,84.150002,80.849998,83.320000,80.874992,6896800
2019-08-14,81.239998,81.690002,80.510002,81.029999,78.652191,7266100
2019-08-15,80.930000,81.300003,79.440002,79.510002,77.176804,6713600
2019-08-16,80.089996,80.559998,79.250000,80.279999,77.924179,5649000
2019-08-19,82.000000,82.339996,80.830002,81.129997,78.749260,7027900
2019-08-20,80.720001,81.230003,79.449997,80.529999,78.166855,5903100
2019-08-21,81.940002,82.839996,81.629997,82.739998,80.311996,6454200
2019-08-22,83.000000,83.720001,82.500000,83.309998,80.865273,5571600
2019-08-23,82.019997,82.760002,80.029999,80.440002,78.079506,8497800
2019-08-26,81.440002,82.279999,80.739998,82.250000,79.836388,4336000
2019-08-27,82.629997,83.180000,82.000000,82.029999,79.622849,3842500
2019-08-28,81.900002,83.589996,81.720001,83.480003,81.030304,4123700
2019-08-29,84.220001,85.769997,84.169998,85.379997,82.874535,5101900
